time,real,sarimax,xgb,hybrid
2020-02-01,0.0,1.181548073131467,1.5837694,0.20456437766551971
2020-03-01,0.0,0.5731190535117207,1.2220067,0.12178485095500946
2020-04-01,2.0000000000000004,0.3845340958486256,0.8252715,1.9209357090294366
2020-05-01,4.17,0.1964005318164522,1.8163935,3.82134970664978
2020-06-01,4.17,0.08941909221105207,1.6507503,3.8308446156978606
2020-07-01,4.17,0.020210576347781825,5.2006297,4.607124198675155
2020-08-01,4.17,0.07004176538093157,3.9145012,4.088433552384377
2020-09-01,4.17,0.0376358751501972,5.249559,4.632184306383133
2020-10-01,4.17,0.10848491970964319,6.9709578,5.762374071478844
2020-11-01,0.0,0.5586445319471874,1.7613276,0.25300341844558716
2020-12-01,0.0,0.4288120118115806,1.0284188,0.08625536412000656
2021-01-01,4.17,1.207518320485972,1.1876384,3.8811379304528235
2021-02-01,4.2,1.0317094479919078,2.1910825,3.841022837162018
2021-03-01,2.0000000000000004,0.43384094286293245,3.0404375,2.2579871416091923
2021-04-01,1.0,0.242609510036791,2.8850694,1.4435368776321411
2021-05-01,0.5,0.12734674453077216,1.3347743,0.5908705294132233
2021-06-01,0.0,0.061620269606289094,0.5571714,0.02531767077744007
2021-07-01,0.5,0.0303347288864146,0.24267949,0.49490722455084324
2021-08-01,0.5,0.12119735248601034,0.27935636,0.49497314309701324
2021-09-01,0.0,0.10917126990210611,0.2618193,0.005590484477579594
2021-10-01,2.0000000000000004,0.15848310150417438,1.0353041,1.9185474440455441
2021-11-01,0.5,0.5952837075681774,0.8214996,0.5215394198894501
2021-12-01,2.0000000000000004,0.4052868801999543,3.9917328,2.6483935117721558
2022-01-01,0.5,1.178127683895362,1.4644526,0.6151866912841797
2022-02-01,1.0,1.0000967188498484,3.161304,1.5572218894958496
2022-03-01,0.5,0.40089205536668027,1.4359554,0.6096080094575882
2022-04-01,2.0000000000000004,0.1888891139796095,2.5523522,2.1149748563766484
2022-05-01,0.5,0.05078095948385941,0.9379695,0.5335026234388351
2022-06-01,0.5,-0.0259970075665035,1.6465435,0.6539606899023056
2022-07-01,0.5,-0.05552747405662188,0.7552561,0.5157223306596279
2022-08-01,0.5,0.03711293438189367,0.7552561,0.5157223306596279
2022-09-01,0.5,0.03654150759161673,0.7601329,0.5161261633038521
2022-10-01,0.5,0.12239286473559921,0.97673297,0.5379749312996864
2022-11-01,0.0,0.5724256564555347,0.6407244,0.03348024934530258
2022-12-01,0.5,0.429428038574752,0.69309086,0.5109143443405628
2023-01-01,0.5,1.234095177564298,0.6407244,0.507353387773037
2023-02-01,2.0000000000000004,1.1157157103978275,2.1786883,2.0317495167255406
2023-03-01,3.9999999999999996,0.5694930653700722,3.263917,3.8040649890899654
2023-04-01,0.5,0.46170077273435617,1.4439676,0.6111630946397781
2023-05-01,0.0,0.3863944635134532,1.2984588,0.13749992847442627
2023-06-01,0.0,0.3492566808079364,-1.1380099,0.0
2023-07-01,0.5,0.3319591626014102,-0.96546566,0.5
2023-08-01,0.0,0.47035019677352796,-0.76361406,0.0
2023-09-01,0.0,0.48439227277276903,-0.73856926,0.0
2023-10-01,0.5,0.5713046191811512,-0.34129772,0.5
2023-11-01,0.5,1.0228629276851737,-1.3854492,0.5
2023-12-01,1.0,0.8464827279751723,-1.1001154,1.0
2024-01-01,0.5,1.5770554248984938,0.54540896,0.5020198002457619
2024-02-01,0.0,1.361836258796108,-0.249199,0.0
2024-03-01,0.0,0.6889962282467292,1.0693866,0.09326433390378952
2024-04-01,0.5,0.4346077364951612,0.21515329,0.4950018918607384
2024-05-01,0.5,0.20817242937204364,0.05027848,0.498155941881123
2024-06-01,0.0,0.09019584331214447,-0.027050504,0.0
2024-07-01,0.5,0.029607588682512447,0.3371427,0.4955221777781844
2024-08-01,0.0,0.12478381373115208,0.09735318,0.0007729411008767784
2024-09-01,1.0,0.11539414134406599,0.71385485,0.9833412580192089
2024-10-01,0.5,0.2164759399336378,0.6307454,0.5067255459725857
2024-11-01,0.5,0.6832369827875604,0.9449097,0.5342853367328644
